Base_Visa_Type,Full_Visa_Type,Location,Subtype,Earliest_Date,Number_of_Dates,Number_of_Appointments,Last_Updated,Relative_Time
F-2,F-2 (Regular),NEW DELHI VAC,Regular,"14 Aug, 25",2,0,2025-08-13 09:30:49,1d ago
J-1 Physicians,J-1 Physicians (Regular),CHENNAI,Regular,"07 Aug, 25",1,1,2025-08-01 14:22:57,12d ago
J-1 Physicians,J-1 Physicians (Regular),CHENNAI VAC,Regular,"18 Aug, 25",6,3,2025-08-13 22:56:44,13h ago
J-1 Physicians,J-1 Physicians (Regular),HYDERABAD,Regular,"25 Aug, 25",4,4,2025-08-09 11:31:49,5d ago
J-1 Physicians,J-1 Physicians (Regular),HYDERABAD VAC,Regular,"18 Aug, 25",5,3,2025-08-13 22:56:52,13h ago
J-1 Physicians,J-1 Physicians (Regular),MUMBAI,Regular,"28 Aug, 25",2,5,2025-08-09 11:13:34,5d ago
J-1 Physicians,J-1 Physicians (Regular),MUMBAI VAC,Regular,"18 Aug, 25",7,4,2025-08-13 22:57:02,13h ago
J-1 Physicians,J-1 Physicians (Regular),NEW DELHI,Regular,"25 Aug, 25",12,3,2025-08-09 11:12:52,5d ago
J-1 Physicians,J-1 Physicians (Regular),NEW DELHI VAC,Regular,"31 Jul, 25",6,5,2025-07-29 14:23:56,15d ago
J-1,J-1 (Regular),CHENNAI,Regular,"19 Aug, 25",1,1,2025-08-03 11:17:00,11d ago
J-1,J-1 (Dropbox),CHENNAI VAC,Dropbox,"04 Aug, 25",1,1,2025-07-26 12:26:19,18d ago
J-1,J-1 (Regular),CHENNAI VAC,Regular,"07 Aug, 25",1,1,2025-08-02 10:10:50,12d ago
J-1,J-1 (Regular),HYDERABAD,Regular,"26 Aug, 25",1,1,2025-08-14 01:47:25,10h ago
J-1,J-1 (Regular),HYDERABAD VAC,Regular,"12 Aug, 25",1,1,2025-08-03 11:03:09,11d ago
J-1,J-1 (Regular),MUMBAI,Regular,"26 Aug, 25",1,1,2025-08-14 01:47:35,10h ago
J-1,J-1 (Regular),MUMBAI VAC,Regular,"29 Jul, 25",1,4,2025-07-28 04:32:54,17d ago
J-1,J-1 (Regular),NEW DELHI,Regular,"25 Aug, 25",2,2,2025-08-14 01:47:21,10h ago
J-1,J-1 (Regular),NEW DELHI VAC,Regular,"10 Sep, 25",1,6,2025-08-14 04:08:18,8h ago
J-2,J-2 (Regular),CHENNAI,Regular,"22 Aug, 25",1,4,2025-08-02 10:40:25,12d ago
J-2,J-2 (Dropbox),CHENNAI VAC,Dropbox,"04 Aug, 25",5,5,2025-07-24 23:31:03,20d ago
J-2,J-2 (Regular),HYDERABAD,Regular,"21 Aug, 25",2,5,2025-07-27 06:29:48,18d ago
J-2,J-2 (Regular),HYDERABAD VAC,Regular,"14 Aug, 25",1,1,2025-08-01 06:38:43,13d ago
J-2,J-2 (Regular),MUMBAI,Regular,"21 Aug, 25",6,4,2025-08-02 09:50:57,12d ago
J-2,J-2 (Regular),NEW DELHI,Regular,"22 Sep, 25",3,1,2025-08-02 10:13:24,12d ago
J-2,J-2 (Regular),NEW DELHI VAC,Regular,"10 Sep, 25",1,6,2025-08-14 03:41:12,8h ago
F41.,F41. (Regular),CHENNAI VAC,Regular,"17 Aug, 25",1,5,2025-08-13 22:59:00,13h ago
F41.,F41. (Regular),KOLKATA VAC,Regular,"24 Aug, 25",2,3,2025-08-13 22:59:05,13h ago
F41.,F41. (Regular),MUMBAI IV,Regular,"26 Aug, 25",6,8,2025-08-13 23:00:08,13h ago
F41.,F41. (Regular),MUMBAI VAC,Regular,"17 Aug, 25",16,2,2025-08-13 22:59:09,13h ago
F41.,F41. (Regular),NEW DELHI VAC,Regular,"10 Aug, 25",3,17,2025-08-07 07:54:49,7d ago
R-2,R-2 (Regular),CHENNAI,Regular,"21 Aug, 25",4,1,2025-08-14 02:30:32,9h ago
R-2,R-2 (Regular),HYDERABAD,Regular,"03 Sep, 25",2,10,2025-08-14 02:44:26,9h ago
R-2,R-2 (Regular),HYDERABAD VAC,Regular,"16 Sep, 25",8,2,2025-08-14 01:01:42,11h ago
R-2,R-2 (Regular),KOLKATA,Regular,"21 Aug, 25",6,10,2025-08-14 02:00:55,10h ago
R-2,R-2 (Regular),MUMBAI,Regular,"19 Aug, 25",4,2,2025-07-31 18:56:10,13d ago
R-2,R-2 (Regular),MUMBAI VAC,Regular,"20 Aug, 25",4,1,2025-08-07 16:52:02,6d ago
R-2,R-2 (Regular),NEW DELHI,Regular,"25 Aug, 25",1,3,2025-08-03 17:02:36,10d ago
R-2,R-2 (Regular),NEW DELHI VAC,Regular,"25 Aug, 25",28,23,2025-08-14 01:02:36,11h ago
IR2,IR2 (Regular),MUMBAI IV,Regular,"05 Aug, 25",6,1,2025-07-30 07:54:24,15d ago
IR2,IR2 (Regular),MUMBAI VAC,Regular,"31 Jul, 25",16,12,2025-07-30 07:37:26,15d ago
I53,I53 (Regular),MUMBAI VAC,Regular,"04 Aug, 25",17,15,2025-08-01 11:49:27,13d ago
I5,I5 (Regular),MUMBAI VAC,Regular,"04 Aug, 25",17,17,2025-08-01 11:40:23,13d ago
I52,I52 (Regular),MUMBAI VAC,Regular,"04 Aug, 25",17,16,2025-08-01 11:45:46,13d ago
U-1,U-1 (Regular),CHENNAI,Regular,"25 Aug, 25",5,548,2025-08-02 09:58:53,12d ago
U-1,U-1 (Regular),CHENNAI VAC,Regular,"17 Oct, 25",8,2,2025-08-02 09:57:54,12d ago
U-1,U-1 (Regular),HYDERABAD VAC,Regular,"06 Oct, 25",23,126,2025-08-02 09:58:11,12d ago
U-1,U-1 (Regular),NEW DELHI VAC,Regular,"05 Aug, 25",54,369,2025-08-02 09:58:27,12d ago
SB1-Returning Resident,SB1-Returning Resident (Regular),MUMBAI IV,Regular,"18 Aug, 25",6,2,2025-08-12 11:03:41,2d ago
H-2A,H-2A (Regular),CHENNAI,Regular,"03 Oct, 25",13,271,2025-08-14 02:47:44,9h ago
